Drug,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of
Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New
Hampshire",New Jersey,New Mexico,New York,"North
Carolina",North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
3-Furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13,0,0,99,0,0,0,0,0,0,0,5,0,2,0,0
Acetyl-alpha-methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetyl fentanyl,10,0,10,2,58,2,43,2,2,465,3,0,0,95,134,42,1,413,5,37,789,1676,126,145,2,57,0,5,1,259,1434,1,137,30,4,3895,1,10,1566,81,187,0,218,1,0,34,321,14,156,48,1
Acryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
ANPP,5,1,1,0,161,0,25,2,0,88,4,1,0,20,25,9,20,330,32,5,617,57,83,81,1,21,0,1,1,2,2709,10,174,17,0,790,1,0,128,7,0,0,189,27,0,70,118,38,19,14,0
Benzylfentanyl,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,1,0,16,2,0,0,0,7,0,0,0,0,0,1,0
beta-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butyryl fentanyl,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78,0,0,15,0,0,5,0,1,0,3,0,0,0,12,0,0,0,0
Carfentanil,2,0,0,1,4,0,0,0,0,13,16,0,0,4,1,3,0,5,3,0,0,13,2,1,0,0,0,0,0,1,0,0,11,3,1,2712,0,0,65,31,1,0,32,40,1,0,8,4,35,0,0
