Drug,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of
Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New
Hampshire",New Jersey,New Mexico,New York,"North
Carolina","North
Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode
Island","South
Carolina","South
Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West
Virginia",Wisconsin,Wyoming
4F-MDMB-BUTINACA,14,0,0,90,2,2,0,0,3,17,44,0,0,5,336,66,102,126,123,0,11,0,0,0,8,25,0,4,0,1,14,0,1,0,0,80,1,0,373,0,2,1,51,582,16,0,19,0,1,0,8
5F-ADB,67,0,7,36,4,6,2,1,0,303,42,0,1,5,368,3,60,81,55,0,52,0,1,2,9,15,0,0,2,1,58,0,13,0,1,90,10,1,241,0,3,0,4,387,9,0,93,0,4,4,2
5F-MDMB-PICA,145,0,2,52,28,7,0,0,13,31,187,0,6,30,486,47,109,184,204,0,158,6,0,15,32,32,0,8,7,4,182,0,27,3,2,170,4,2,1162,0,15,1,39,828,239,0,175,2,7,6,52
6-Monoacetylmorphine,83,2,2,5,63,1,2,1,3,56,10,1,1,32,4,0,1,4,2,0,7,34,0,0,2,6,1,0,8,0,38,22,19,14,1,739,12,28,14,3,12,0,19,173,5,0,85,4,4,11,0
Acetaminophen,216,4,162,1668,754,70,24,3,12,330,25,12,5,41,378,31,24,65,436,5,30,211,21,27,307,408,55,5,183,37,74,59,185,13,6,936,16,9,265,1,603,5,83,767,9,1,1122,272,28,35,0
Acetyl fentanyl,10,0,10,2,58,2,43,2,2,465,3,0,0,95,134,42,1,413,5,37,789,1676,126,145,2,57,0,5,1,259,1434,1,137,30,4,3895,1,10,1566,81,187,0,218,1,0,34,321,14,156,48,1
Alprazolam,615,0,795,901,1808,217,10,0,5,2202,497,15,14,666,658,317,370,364,1310,10,910,319,414,59,135,1238,15,152,239,105,882,41,1038,59,52,1765,535,94,1093,158,643,18,1203,2086,73,0,1122,105,142,81,27
Amphetamine,212,0,163,331,236,82,4,0,1,587,346,8,79,280,214,142,149,96,621,5,464,335,376,46,106,329,17,76,56,108,408,8,362,31,36,1072,95,39,482,123,279,12,276,813,47,3,794,65,40,77,30
ANPP,5,1,1,0,161,0,25,2,0,88,4,1,0,20,25,9,20,330,32,5,617,57,83,81,1,21,0,1,1,2,2709,10,174,17,0,790,1,0,128,7,0,0,189,27,0,70,118,38,19,14,0
Buprenorphine,698,0,249,239,440,119,11,0,0,692,130,1,45,86,660,25,52,900,906,38,1501,933,845,35,136,467,16,23,18,458,842,154,861,41,22,2407,140,145,1522,142,284,13,1413,133,114,2,1789,250,194,49,37
Caffeine,63,1,23,1811,205,15,103,19,57,408,64,3,6,77,341,51,29,49,209,28,133,174,29,7,126,173,17,2,840,13,318,8,368,29,12,719,189,6,309,6,27,5,110,1429,3,20,128,30,158,71,0
Cannabidiol,167,0,55,492,47,84,20,0,0,289,10,3,24,53,157,1,88,48,80,0,35,10,0,33,11,39,0,21,48,4,121,3,15,8,7,210,301,1,52,0,5,111,65,524,16,0,159,21,4,90,0
