Towns,Median household income,Mean household income,Per capita income,Population,,,
Andover,100321,111230,40182,3303,,,
Ansonia,43305,62858,24359,19249,,,
Ashford,77870,95339,39139,4317,,,
Avon,123894,172245,66822,18098,,,
Barkhamsted,95735,102210,40156,3799,,,
Beacon Falls,83155,94002,37736,6049,,,
Berlin,87810,104448,40865,19866,,,
Bethany,97254,112461,42397,5563,,,
Bethel,92125,113515,43569,18584,,,
Bethlehem,84306,114218,43516,3607,,,
Bloomfield,72762,91501,39155,20486,,,
Bolton,97019,120635,49199,4980,,,
Bozrah,77045,88628,34778,2627,,,
Branford,71938,97243,44043,28026,,,
Bridgeport,41801,56565,21002,144229,,,
Bridgewater,98424,145879,66035,1727,,,
Bristol,61478,74762,31709,60477,,,
Brookfield,112684,133819,47633,16452,,,
Brooklyn,60694,74756,27244,8210,,,
Burlington,113472,131895,47339,9301,,,
Canaan,72321,90077,42222,1234,,,
Canterbury,83862,87707,33135,5132,,,
Canton,87326,120304,47497,10292,,,
Chaplin,67054,80759,31326,2305,,,
Cheshire,106489,126359,44280,29261,,,
Chester,78750,94053,40730,3994,,,
Clinton,71455,90436,36954,13260,,,
Colchester,97313,105512,38599,16068,,,
Colebrook,81172,92338,34330,1485,,,
Columbia,89986,103555,39947,5485,,,
Cornwall,75833,119161,49753,1420,,,
Coventry,90309,106537,39552,12435,,,
Cromwell,82081,101902,40905,14005,,,
Danbury,66676,85620,31284,80893,,,
Darien,208906,313277,96767,20732,,,
Deep River,69395,102653,43294,4629,,,
Derby,51596,63666,26119,12902,,,
Durham,113152,136223,48570,7388,,,
East Granby,72684,91342,38544,5148,,,
East Haddam,82117,103376,39877,9126,,,
East Hampton,96299,109137,42259,12959,,,
East Hartford,48369,60216,24961,51252,,,
East Haven,63120,78485,31781,29257,,,
East Lyme,84029,104053,41161,19159,,,
East Windsor,74798,84660,34623,11162,,,
Eastford,78466,90672,35011,1749,,,
Easton,131189,163115,58532,7490,,,
Ellington,85545,106457,43323,15602,,,
Enfield,67377,79354,30116,44654,,,
Essex,86376,117332,53427,6683,,,
Fairfield,122306,176523,60155,59404,,,
Farmington,91712,128110,52341,25340,,,
Franklin,87708,104382,39151,1922,,,
Glastonbury,109018,151010,57709,34427,,,
Goshen,92361,98147,39089,2976,,,
Granby,102671,139097,52984,11282,,,
Greenwich,128153,250125,90087,61171,,,
Griswold,59153,81356,30814,11951,,,
Groton,62137,82460,35638,40115,,,
Guilford,99132,131356,52071,22375,,,
Haddam,99866,115800,46119,8346,,,
Hamden,70791,89351,34907,60960,,,
Hampton,76625,93305,37031,1863,,,
Hartford,30630,44434,17311,124775,,,
Hartland,91964,104018,36787,2114,,,
Harwinton,91875,123100,45301,5642,,,
Hebron,105104,124039,43632,9686,,,
Kent,60714,84455,34015,2979,,,
Killingly,55764,65445,27210,17370,,,
Killingworth,112137,126235,48537,6525,,,
Lebanon,89375,96688,35798,7308,,,
Ledyard,84825,99378,38344,15051,,,
Lisbon,81200,95576,35711,4338,,,
Litchfield,82361,107893,45766,8466,,,
Lyme,81650,117144,51318,2406,,,
Madison,107183,139395,52413,18269,,,
Manchester,63158,77924,33154,58241,,,
Mansfield,60263,83494,19613,26543,,,
Marlborough,108698,125525,44991,6404,,,
Meriden,54588,66954,28601,60868,,,
Middlebury,97756,120844,44074,7575,,,
Middlefield,102426,108443,43369,4425,,,
Middletown,63691,83645,34992,47648,,,
Milford,80247,98262,40616,52759,,,
Monroe,110558,142503,48998,19479,,,
Montville,70036,81368,29689,19571,,,
Morris,83750,117639,46999,2388,,,
Naugatuck,58078,81615,32241,31862,,,
New Britain,40457,53246,21470,73206,,,
New Canaan,168311,309243,105846,19738,,,
New Fairfield,101273,124667,43622,13881,,,
New Hartford,87596,94784,36769,6970,,,
New Haven,37192,57499,23527,129779,,,
New London,36250,50577,21736,27620,,,
New Milford,78343,101293,39331,28142,,,
Newington,79960,89963,38192,30562,,,
Newtown,111022,137886,48744,27560,,,
Norfolk,72875,104561,45462,1709,,,
North Branford,84697,106584,41661,14407,,,
North Canaan,69231,69844,29689,3315,,,
North Haven,86340,103094,38137,24093,,,
North Stonington,75954,89888,33841,5297,,,
Norwalk,76987,108184,43570,85603,,,
Norwich,50078,65163,26823,40493,,,
Old Lyme,87025,110147,46429,7603,,,
Old Saybrook,71796,103397,44293,10242,,,
Orange,107047,138121,49776,13956,,,
Oxford,97296,113467,39438,12683,,,
Plainfield,60673,69978,27137,15405,,,
